title,current_price,former_price,discount
Hp Probook 11 G7 X360 Touchscreen Intel Pentium 8GB DDR4 RAM 256GB SSD WIN 10 + Keyboard Flashlight,240000,650000,30%
Hp Notebook 15-AMD RYZEN 3 -16GB RAM/1TBGB HDD - Windows 10,345000,398450,3%
"Apple MacBook Pro 16.2"" - 32GB - 1TB - 10 Cores - M1 Max - Silver",4450000,770900,34%
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,200000,550000,15%
Hp ProBook 11 X360- TOUCH Intel Celeron 128GB 4GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,180000,965100,52%
"Apple MacBook Pro 13.3"" (2020) - Intel® Core™ I5, 2.0Ghz,1 TB SSD, 16GB RAM Space Grey",1795000,500000,42%
"Lenovo Refurbished Lenovo ThinkPad T450 14"" I5 6th Gen,8- 256GB",219756,300000,20%
Hp ProBook 11 X360- TOUCH- 512GB SSD/8GB RAM-Intel CORE I5- Windows 11 + 64GB Flash & BAG,370000,350000,14%
Hp Stream 11 PRO Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ USB Light For Keyboard,135000,250000,12%
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,135000,890000,21%
"Hp ProBook X360 11Touchscreen Core I5-8GB DDR4, 512GB SSD Win10 Pro Pouch Mouse",325000,900000,44%
Hp ProBook 11 G1 X360 Convertible Intel Pentium Laptop 4GB RAM 256G Touchscreen Windows 10,195000,1699000,80%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,350000,40%
Hp STREAM 11 INTEL CELERON® 4GB RAM 32GB EMMC WIN 10+32GB FLASH,125000,665000,33%
"DELL Latitude 5480 Intel Core I5- 8GB RAM, 256GB SSD Windows  11",900000,800000,6%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/512 SSD/Backlit,485000,190000,32%
